PC1,PC2,Probability,Free_Energy_kJ_mol,Sampled
-3.5308970000000004,3.7320611500000003,0.0,,False
-3.5308970000000004,3.80912705,0.0,,False
-3.4481238000000003,-3.82039705,0.0,,False
-3.4481238000000003,-3.74333115,0.0,,False
-3.4481238000000003,-3.66626525,0.0,,False
-3.4481238000000003,-3.58919935,0.0,,False
-3.4481238000000003,-3.51213345,0.0,,False
-3.4481238000000003,-3.43506755,0.0,,False
-3.4481238000000003,-3.35800165,0.0,,False
-3.4481238000000003,-3.28093575,0.0,,False
-3.4481238000000003,-3.20386985,0.0,,False
-3.4481238000000003,-3.1268039499999998,0.0,,False
-3.4481238000000003,-3.0497380499999998,0.0,,False
-3.4481238000000003,-2.9726721499999997,0.0,,False
-3.4481238000000003,-2.8956062499999997,0.0,,False
-3.4481238000000003,-2.8185403499999997,0.0,,False
-3.4481238000000003,-2.7414744499999997,0.0,,False
-3.4481238000000003,-2.6644085499999997,0.0,,False
-3.4481238000000003,-2.5873426499999996,0.0,,False
-3.4481238000000003,-2.5102767499999996,0.0,,False
-3.4481238000000003,-2.4332108499999996,0.0,,False
-3.4481238000000003,-2.3561449499999996,0.0,,False
-3.4481238000000003,-2.2790790499999996,0.0,,False
-3.4481238000000003,-2.2020131499999995,0.0,,False
-3.4481238000000003,-2.1249472499999995,0.0,,False
-3.4481238000000003,-2.04788135,0.0,,False
-3.4481238000000003,-1.97081545,0.0,,False
-3.4481238000000003,-1.89374955,0.0,,False
-3.4481238000000003,-1.8166836499999999,0.0,,False
-3.4481238000000003,-1.7396177499999999,0.0,,False
-3.4481238000000003,-1.6625518499999998,0.0,,False
-3.4481238000000003,-1.5854859499999998,0.0,,False
-3.4481238000000003,-1.5084200499999998,0.0,,False
-3.4481238000000003,-1.4313541499999998,0.0,,False
-3.4481238000000003,-1.3542882499999997,0.0,,False
-3.4481238000000003,-1.2772223499999997,0.0,,False
-3.4481238000000003,-1.2001564499999997,0.0,,False
-3.4481238000000003,-1.1230905499999997,0.0,,False
-3.4481238000000003,-1.0460246499999997,0.0,,False
-3.4481238000000003,-0.9689587499999996,0.0,,False
-3.4481238000000003,-0.8918928499999996,0.0,,False
-3.4481238000000003,-0.8148269499999996,0.0,,False
-3.4481238000000003,-0.7377610499999996,0.0,,False
-3.4481238000000003,-0.6606951499999996,0.0,,False
-3.4481238000000003,-0.5836292499999995,0.0,,False
-3.4481238000000003,-0.5065633499999995,0.0,,False
-3.4481238000000003,-0.4294974499999995,0.0,,False
-3.4481238000000003,-0.3524315499999995,0.0,,False
-3.4481238000000003,-0.27536564999999946,0.0,,False
-3.4481238000000003,-0.19829974999999966,0.0,,False
-3.4481238000000003,-0.12123384999999987,0.0,,False
-3.4481238000000003,-0.044167949999999845,0.0,,False
-3.4481238000000003,0.032897950000000176,0.0,,False
-3.4481238000000003,0.1099638500000002,0.0,,False
-3.4481238000000003,0.18702975000000022,0.0,,False
-3.4481238000000003,0.26409565000000024,0.0,,False
-3.4481238000000003,0.34116155000000026,2.3561363627270515e-08,27.133274347052172,False
-3.4481238000000003,0.4182274500000003,9.505332501193357e-06,12.167241634652175,True
-3.4481238000000003,0.4952933500000003,7.02354350903065e-05,7.178564063852173,True
-3.4481238000000003,0.5723592500000003,9.505332501193357e-06,12.167241634652175,True
